County_City,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Accomack County,132,196,172,275,251,424,290,218,150,90,89,67,101,88,67,43,54,51,92,81,188,0,207
Albemarle County,549,823,1751,1056,584,825,580,580,432,325,631,672,331,428,475,514,856,851,1075,948,982,948,927
Alexandria City,1413,1977,576,72,843,1017,1050,563,471,236,539,759,444,1848,1324,193,621,149,112,65,107,200,1490
Alleghany County,27,29,77,29,32,31,29,21,23,13,17,10,15,16,13,15,11,14,15,14,7,0,8
Amelia County,70,53,96,116,114,169,139,94,60,36,44,22,25,37,40,34,44,55,49,54,54,58,73
Amherst County,106,127,118,121,131,124,195,112,76,79,66,43,55,67,50,51,47,73,66,47,69,70,92
Appomattox County,65,60,67,70,121,133,122,113,93,92,61,62,47,63,62,51,74,65,66,78,75,0,107
Arlington County,811,920,17,7,1274,2232,2960,2121,1179,614,875,1945,2207,934,2160,652,1914,2884,2756,743,553,3323,2160
Augusta County,467,477,520,622,653,557,397,335,268,171,300,219,183,191,418,217,209,239,222,390,322,248,255
Bath County,51,35,40,30,29,31,39,21,26,19,25,11,10,17,4,12,10,7,6,9,7,0,13
Bedford County,468,453,532,615,695,744,738,528,282,246,317,267,277,385,420,302,288,256,252,53,144,141,168
Bland County,54,47,41,50,68,41,55,29,46,42,11,10,6,8,13,11,22,22,25,24,8,0,6
Botetourt County,203,195,194,247,364,273,194,137,104,63,66,55,74,63,75,83,69,77,114,105,132,0,83
Bristol City,37,49,86,89,76,97,74,120,20,14,5,34,19,6,10,3,51,7,11,5,1,0,1
Brunswick County,47,46,47,43,42,171,75,56,55,10,17,43,29,25,0,16,23,30,0,0,29,0,40
Buchanan County,21,22,24,25,34,97,,31,34,26,21,12,14,16,9,2,10,5,0,4,7,0,11
Buckingham County,50,50,60,74,79,102,121,101,85,36,31,34,33,46,34,47,29,31,23,49,49,0,100
Buena Vista City,20,31,34,15,21,15,52,120,11,4,4,2,4,1,0,1,1,3,1,11,9,0,3
Campbell County,187,299,395,201,285,339,321,453,195,130,111,95,278,322,297,112,100,297,78,74,271,0,227
