County_City,State,2010_Census ,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020_Census,2021,Change_2010-2021,Pct_Chg_2010-2020
Accomack County, Virginia,33164,33150,33227,33276,32982,32992,32930,32903,32729,32603,32325,33413,33246,82,0.002472561
Albemarle County, Virginia,98970,99196,100231,101504,102329,103811,105221,106662,108107,108832,109843,112395,113535,14565,0.147165808
Alleghany County, Virginia,16250,16203,16163,16035,15926,15613,15432,15393,15143,15016,14898,15223,14986,-1264,-0.077784615
Amelia County, Virginia,12690,12741,12747,12741,12655,12713,12784,12805,12974,12997,13058,13265,13268,578,0.045547675
Amherst County, Virginia,32353,32389,32160,32640,32331,32174,31855,31903,31893,31771,31678,31307,31273,-1080,-0.033381757
Appomattox County, Virginia,14973,15091,15104,15240,15315,15343,15485,15535,15715,15874,15902,16119,16353,1380,0.092165899
Arlington County, Virginia,207627,209319,216078,221614,225120,226274,228887,231805,235193,236662,238392,238643,232965,25338,0.122036151
Augusta County, Virginia,73750,73593,73656,73599,73862,73908,74324,74875,75324,75906,76120,77487,77563,3813,0.051701695
Bath County, Virginia,4731,4721,4655,4642,4591,4536,4463,4408,4270,4275,4169,4209,4114,-617,-0.130416402
Bedford County, Virginia,68676,75032,75555,75755,76189,77054,77653,78024,78445,79115,79431,79462,80131,11455,0.166797717
Bland County, Virginia,6824,6801,6776,6693,6674,6586,6536,6483,6361,6295,6292,6270,6173,-651,-0.095398593
Botetourt County, Virginia,33148,33195,33001,33121,32995,33086,33391,33298,33355,33412,33500,33596,33866,718,0.021660432
Brunswick County, Virginia,17434,17393,17119,17023,16976,16815,16838,16607,16572,16289,16176,15849,15940,-1494,-0.08569462
Buchanan County, Virginia,24098,24091,23835,23835,23638,23167,22767,22229,21622,21373,21031,20355,19816,-4282,-0.177691095
Buckingham County, Virginia,17146,17092,17217,17071,17154,16936,17022,17044,17046,17042,17134,16824,16947,-199,-0.011606206
Campbell County, Virginia,54842,54910,54799,54843,55093,55286,55374,55391,55440,55526,55371,55696,55492,650,0.01185223
Caroline County, Virginia,28545,28631,28672,28950,29253,29747,29907,30091,30441,30766,30745,30887,31332,2787,0.097635313
Carroll County, Virginia,30042,30071,30093,29920,29915,29721,29882,29788,29845,29824,30022,29155,29048,-994,-0.033087012
Charles City County, Virginia,7256,7255,7200,7123,7068,6975,7043,7026,7024,6983,6969,6773,6594,-662,-0.09123484
Charlotte County, Virginia,12586,12568,12497,12400,12281,12177,12182,12113,12078,11906,11849,11529,11448,-1138,-0.090417925
Chesterfield County, Virginia,316236,317210,320344,323942,327721,332221,335093,338677,343500,348704,353376,364548,370688,54452,0.17218786
Clarke County, Virginia,14034,14018,14197,14255,14264,14329,14252,14309,14468,14517,14576,14783,14881,847,0.060353427
Craig County, Virginia,5190,5198,5170,5139,5138,5177,5140,5138,5070,5105,5127,4892,4865,-325,-0.062620424
Culpeper County, Virginia,46689,46834,47347,47850,48609,49243,49559,50337,51261,51785,52722,52552,53596,6907,0.147936345
Cumberland County, Virginia,10052,10028,9987,9845,9852,9843,9758,9742,9840,9863,9967,9675,9681,-371,-0.036908078
Dickenson County, Virginia,15903,15846,15778,15708,15527,15345,15200,15019,14728,14502,14295,14124,13787,-2116,-0.133056656
Dinwiddie County, Virginia,28001,28062,28114,28222,28087,28090,28146,28458,28678,28800,28804,27947,27912,-89,-0.003178458
Essex County, Virginia,11151,11145,11168,11133,11158,11066,11091,11073,10960,10889,10936,10599,10573,-578,-0.051833916
Fairfax County, Virginia,1081726,1086165,1103571,1120654,1132186,1136794,1141040,1144957,1149346,1149688,1152359,1150309,1139720,57994,0.053612467
Fauquier County, Virginia,65203,65433,66032,66567,67150,68135,68449,68831,69555,70722,71297,72972,73815,8612,0.132079812
Floyd County, Virginia,15279,15367,15404,15438,15493,15538,15565,15685,15783,15788,15796,15476,15566,287,0.018783952
Fluvanna County, Virginia,25691,25792,25959,25889,25833,25980,26144,26227,26517,26931,27266,27249,27723,2032,0.079093846
