Year,Month,County_City,Sale_Count
2016 , Jan,Accomack County,21
2016 , Jan,Albemarle County,64
2016 , Jan,Alexandria City,101
2016 , Jan,Alleghany County,2
2016 , Jan,Amelia County,11
2016 , Jan,Amherst County,13
2016 , Jan,Appomattox County,8
2016 , Jan,Arlington County,147
2016 , Jan,Augusta County,40
2016 , Jan,Bath County,2
2016 , Jan,Bedford County,68
2016 , Jan,Bland County,1
2016 , Jan,Botetourt County,25
2016 , Jan,Bristol City,0
2016 , Jan,Brunswick County,1
2016 , Jan,Buchanan County,2
2016 , Jan,Buckingham County,7
2016 , Jan,Buena Vista City,2
2016 , Jan,Campbell County,31
2016 , Jan,Caroline County,31
2016 , Jan,Carroll County,15
2016 , Jan,Charles City County,2
2016 , Jan,Charlotte County,2
2016 , Jan,Charlottesville City,32
2016 , Jan,Chesapeake City,226
2016 , Jan,Chesterfield County,276
2016 , Jan,Clarke County,10
2016 , Jan,Colonial Heights City,17
2016 , Jan,Covington City,0
2016 , Jan,Craig County,2
2016 , Jan,Culpeper County,42
2016 , Jan,Cumberland County,8
2016 , Jan,Danville City,23
2016 , Jan,Dickenson County,0
2016 , Jan,Dinwiddie County,12
2016 , Jan,Emporia City,2
2016 , Jan,Essex County,6
2016 , Jan,Fairfax City,16
2016 , Jan,Fairfax County,783
2016 , Jan,Falls Church City,8
2016 , Jan,Fauquier County,62
2016 , Jan,Floyd County,9
2016 , Jan,Fluvanna County,26
2016 , Jan,Franklin City,4
2016 , Jan,Franklin County,46
2016 , Jan,Frederick County,62
2016 , Jan,Fredericksburg City,21
2016 , Jan,Galax City,7
2016 , Jan,Giles County,11
2016 , Jan,Gloucester County,30
2016 , Jan,Goochland County,16
2016 , Jan,Grayson County,6
2016 , Jan,Greene County,14
2016 , Jan,Greensville County,1
2016 , Jan,Halifax County,10
2016 , Jan,Hampton City,105
2016 , Jan,Hanover County,79
2016 , Jan,Harrisonburg City,27
2016 , Jan,Henrico County,228
2016 , Jan,Henry County,19
2016 , Jan,Highland County,1
2016 , Jan,Hopewell City,14
2016 , Jan,Isle of Wight County,17
2016 , Jan,James City County,58
2016 , Jan,King and Queen County,5
2016 , Jan,King George County,24
2016 , Jan,King William County,18
2016 , Jan,Lancaster County,7
2016 , Jan,Lee County,0
2016 , Jan,Lexington City,3
2016 , Jan,Loudoun County,361
2016 , Jan,Louisa County,42
2016 , Jan,Lunenburg County,5
2016 , Jan,Lynchburg City,59
2016 , Jan,Madison County,10
2016 , Jan,Manassas City,33
2016 , Jan,Manassas Park City,14
2016 , Jan,Martinsville City,11
2016 , Jan,Mathews County,10
2016 , Jan,Mecklenburg County,4
2016 , Jan,Middlesex County,7
2016 , Jan,Montgomery County,62
2016 , Jan,Nelson County,21
2016 , Jan,New Kent County,15
2016 , Jan,Newport News City,119
2016 , Jan,Norfolk City,155
2016 , Jan,Northampton County,7
2016 , Jan,Northumberland County,6
2016 , Jan,Norton City,0
2016 , Jan,Nottoway County,5
2016 , Jan,Orange County,21
2016 , Jan,Page County,16
2016 , Jan,Patrick County,7
2016 , Jan,Petersburg City,21
2016 , Jan,Pittsylvania County,13
2016 , Jan,Poquoson City,3
2016 , Jan,Portsmouth City,93
2016 , Jan,Powhatan County,19
2016 , Jan,Prince Edward County,11
2016 , Jan,Prince George County,15
2016 , Jan,Prince William County,362
2016 , Jan,Pulaski County,17
2016 , Jan,Radford City,9
2016 , Jan,Rappahannock County,3
2016 , Jan,Richmond City,143
2016 , Jan,Richmond County,3
2016 , Jan,Roanoke City,68
2016 , Jan,Roanoke County,81
2016 , Jan,Rockbridge County,18
2016 , Jan,Rockingham County,41
2016 , Jan,Russell County,7
2016 , Jan,Salem City,19
2016 , Jan,Scott County,0
2016 , Jan,Shenandoah County,35
2016 , Jan,Smyth County,10
2016 , Jan,Southampton County,7
2016 , Jan,Spotsylvania County,116
2016 , Jan,Stafford County,129
2016 , Jan,Staunton City,24
2016 , Jan,Suffolk City,86
2016 , Jan,Surry County,2
2016 , Jan,Sussex County,5
2016 , Jan,Tazewell County,9
2016 , Jan,Virginia Beach City,359
2016 , Jan,Warren County,34
2016 , Jan,Washington County,15
2016 , Jan,Waynesboro City,14
2016 , Jan,Westmoreland County,16
2016 , Jan,Williamsburg City,20
2016 , Jan,Winchester City,19
2016 , Jan,Wise County,0
2016 , Jan,Wythe County,10
2016 , Jan,York County,44
2016 , Feb,Accomack County,15
2016 , Feb,Albemarle County,88
2016 , Feb,Alexandria City,122
2016 , Feb,Alleghany County,3
2016 , Feb,Amelia County,11
2016 , Feb,Amherst County,14
2016 , Feb,Appomattox County,12
2016 , Feb,Arlington County,141
2016 , Feb,Augusta County,38
2016 , Feb,Bath County,3
2016 , Feb,Bedford County,66
2016 , Feb,Bland County,1
2016 , Feb,Botetourt County,24
2016 , Feb,Bristol City,0
2016 , Feb,Brunswick County,1
2016 , Feb,Buchanan County,1
2016 , Feb,Buckingham County,6
2016 , Feb,Buena Vista City,4
2016 , Feb,Campbell County,31
2016 , Feb,Caroline County,25
2016 , Feb,Carroll County,14
2016 , Feb,Charles City County,1
2016 , Feb,Charlotte County,1
2016 , Feb,Charlottesville City,20
2016 , Feb,Chesapeake City,242
2016 , Feb,Chesterfield County,351
2016 , Feb,Clarke County,12
2016 , Feb,Colonial Heights City,13
2016 , Feb,Covington City,1
2016 , Feb,Craig County,4
2016 , Feb,Culpeper County,57
2016 , Feb,Cumberland County,5
2016 , Feb,Danville City,26
2016 , Feb,Dickenson County,0
2016 , Feb,Dinwiddie County,17
2016 , Feb,Emporia City,0
2016 , Feb,Essex County,10
2016 , Feb,Fairfax City,21
2016 , Feb,Fairfax County,865
2016 , Feb,Falls Church City,3
2016 , Feb,Fauquier County,58
2016 , Feb,Floyd County,12
2016 , Feb,Fluvanna County,16
2016 , Feb,Franklin City,3
2016 , Feb,Franklin County,35
2016 , Feb,Frederick County,86
2016 , Feb,Fredericksburg City,14
2016 , Feb,Galax City,4
2016 , Feb,Giles County,10
2016 , Feb,Gloucester County,35
2016 , Feb,Goochland County,12
2016 , Feb,Grayson County,5
2016 , Feb,Greene County,17
2016 , Feb,Greensville County,1
2016 , Feb,Halifax County,14
2016 , Feb,Hampton City,124
2016 , Feb,Hanover County,92
2016 , Feb,Harrisonburg City,23
2016 , Feb,Henrico County,237
2016 , Feb,Henry County,17
2016 , Feb,Highland County,0
2016 , Feb,Hopewell City,14
2016 , Feb,Isle of Wight County,26
2016 , Feb,James City County,97
2016 , Feb,King and Queen County,7
2016 , Feb,King George County,20
2016 , Feb,King William County,14
2016 , Feb,Lancaster County,8
2016 , Feb,Lee County,1
2016 , Feb,Lexington City,9
2016 , Feb,Loudoun County,386
2016 , Feb,Louisa County,33
2016 , Feb,Lunenburg County,7
2016 , Feb,Lynchburg City,75
2016 , Feb,Madison County,7
2016 , Feb,Manassas City,34
