Year,Month,State,Job_Status,Job_Value
2009,Jan,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",132024
2009,Feb,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",131791
2009,Mar,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",131658
2009,Apr,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",131842
2009,May,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",132115
2009,Jun,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",131934
2009,Jul,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",130336
2009,Aug,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",130215
2009,Sep,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",130573
2009,Oct,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",131172
2009,Nov,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",131220
2009,Dec,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",130673
2010,Jan,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",127804
2010,Feb,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",128239
2010,Mar,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",129073
2010,Apr,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",130196
2010,May,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",131314
2010,Jun,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",131432
2010,Jul,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",130094
2010,Aug,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",130158
2010,Sep,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",130652
2010,Oct,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",131624
2010,Nov,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",131930
2010,Dec,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",131624
2011,Jan,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",128761
2011,Feb,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",129575
2011,Mar,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",130481
2011,Apr,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",131698
2011,May,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",132382
2011,Jun,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",132871
2011,Jul,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",131597
2011,Aug,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",131872
2011,Sep,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",132618
2011,Oct,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",133541
2011,Nov,U.S.,"Jobs (000s, nonfarm, not seasonally adjusted)",133876
