Year,Month,County_City,Median_Sale_Value
2016, Jan,Accomack County,145000
2016, Jan,Albemarle County,295985
2016, Jan,Alexandria City,418000
2016, Jan,Alleghany County,37750
2016, Jan,Amelia County,150000
2016, Jan,Amherst County,146250
2016, Jan,Appomattox County,158500
2016, Jan,Arlington County,595000
2016, Jan,Augusta County,196500
2016, Jan,Bath County,35000
2016, Jan,Bedford County,189262.5
2016, Jan,Bland County,24000
2016, Jan,Botetourt County,230000
2016, Jan,Bristol City,N/A
2016, Jan,Brunswick County,20000
2016, Jan,Buchanan County,28250
2016, Jan,Buckingham County,132000
2016, Jan,Buena Vista City,122500
2016, Jan,Campbell County,147250
2016, Jan,Caroline County,141500
2016, Jan,Carroll County,90000
2016, Jan,Charles City County,132700
2016, Jan,Charlotte County,94950
2016, Jan,Charlottesville City,282150
2016, Jan,Chesapeake City,248450
2016, Jan,Chesterfield County,210000
2016, Jan,Clarke County,281950
2016, Jan,Colonial Heights City,139000
2016, Jan,Covington City,N/A
2016, Jan,Craig County,237500
2016, Jan,Culpeper County,227450
2016, Jan,Cumberland County,127500
2016, Jan,Danville City,89900
2016, Jan,Dickenson County,N/A
2016, Jan,Dinwiddie County,124385
2016, Jan,Emporia City,131250
2016, Jan,Essex County,128500
2016, Jan,Fairfax City,445000
2016, Jan,Fairfax County,444000
2016, Jan,Falls Church City,747000
2016, Jan,Fauquier County,366000
2016, Jan,Floyd County,136000
2016, Jan,Fluvanna County,174500
2016, Jan,Franklin City,102000
2016, Jan,Franklin County,199200
2016, Jan,Frederick County,230000
2016, Jan,Fredericksburg City,289900
2016, Jan,Galax City,105000
2016, Jan,Giles County,105000
2016, Jan,Gloucester County,171500
2016, Jan,Goochland County,278400
2016, Jan,Grayson County,116000
2016, Jan,Greene County,223000
2016, Jan,Greensville County,40000
2016, Jan,Halifax County,96250
2016, Jan,Hampton City,155000
2016, Jan,Hanover County,240000
2016, Jan,Harrisonburg City,168000
2016, Jan,Henrico County,190000
2016, Jan,Henry County,95000
2016, Jan,Highland County,138000
2016, Jan,Hopewell City,82000
2016, Jan,Isle of Wight County,267000
2016, Jan,James City County,278495
2016, Jan,King and Queen County,105900
2016, Jan,King George County,267950
2016, Jan,King William County,190000
2016, Jan,Lancaster County,277500
2016, Jan,Lee County,N/A
2016, Jan,Lexington City,160000
2016, Jan,Loudoun County,432200
2016, Jan,Louisa County,218450
2016, Jan,Lunenburg County,75000
2016, Jan,Lynchburg City,122200
2016, Jan,Madison County,173750
2016, Jan,Manassas City,315000
2016, Jan,Manassas Park City,258000
2016, Jan,Martinsville City,50000
2016, Jan,Mathews County,198500
2016, Jan,Mecklenburg County,171500
2016, Jan,Middlesex County,226000
2016, Jan,Montgomery County,170000
2016, Jan,Nelson County,165000
2016, Jan,New Kent County,245000
2016, Jan,Newport News City,165000
2016, Jan,Norfolk City,168000
2016, Jan,Northampton County,235000
2016, Jan,Northumberland County,171250
2016, Jan,Norton City,N/A
2016, Jan,Nottoway County,59000
2016, Jan,Orange County,176750
2016, Jan,Page County,141900
2016, Jan,Patrick County,95000
2016, Jan,Petersburg City,36100
2016, Jan,Pittsylvania County,107500
2016, Jan,Poquoson City,290000
2016, Jan,Portsmouth City,113770
2016, Jan,Powhatan County,251835
2016, Jan,Prince Edward County,110299
2016, Jan,Prince George County,161000
2016, Jan,Prince William County,320000
2016, Jan,Pulaski County,91000
2016, Jan,Radford City,92000
2016, Jan,Rappahannock County,608500
2016, Jan,Richmond City,216500
2016, Jan,Richmond County,157000
2016, Jan,Roanoke City,115000
2016, Jan,Roanoke County,169950
2016, Jan,Rockbridge County,150000
2016, Jan,Rockingham County,215000
2016, Jan,Russell County,73000
2016, Jan,Salem City,149950
2016, Jan,Scott County,N/A
2016, Jan,Shenandoah County,159000
2016, Jan,Smyth County,149000
2016, Jan,Southampton County,180000
2016, Jan,Spotsylvania County,249950
2016, Jan,Stafford County,290000
2016, Jan,Staunton City,135000
2016, Jan,Suffolk City,218375
2016, Jan,Surry County,488611
2016, Jan,Sussex County,102000
2016, Jan,Tazewell County,72750
2016, Jan,Virginia Beach City,240250
2016, Jan,Warren County,208300
2016, Jan,Washington County,152750
2016, Jan,Waynesboro City,129450
2016, Jan,Westmoreland County,147475
2016, Jan,Williamsburg City,230461
2016, Jan,Winchester City,210000
2016, Jan,Wise County,N/A
2016, Jan,Wythe County,144750
2016, Jan,York County,272500
2016, Feb,Accomack County,154000
2016, Feb,Albemarle County,304000
2016, Feb,Alexandria City,537000
2016, Feb,Alleghany County,95000
2016, Feb,Amelia County,185000
2016, Feb,Amherst County,144900
2016, Feb,Appomattox County,172450
2016, Feb,Arlington County,530000
2016, Feb,Augusta County,186250
2016, Feb,Bath County,80000
2016, Feb,Bedford County,190000
2016, Feb,Bland County,190500
2016, Feb,Botetourt County,193000
2016, Feb,Bristol City,N/A
2016, Feb,Brunswick County,77000
2016, Feb,Buchanan County,36000
2016, Feb,Buckingham County,97500
2016, Feb,Buena Vista City,48000
2016, Feb,Campbell County,128000
2016, Feb,Caroline County,174750
2016, Feb,Carroll County,54500
2016, Feb,Charles City County,91000
2016, Feb,Charlotte County,50150
2016, Feb,Charlottesville City,285000
2016, Feb,Chesapeake City,248500
2016, Feb,Chesterfield County,212625
2016, Feb,Clarke County,196000
2016, Feb,Colonial Heights City,141500
2016, Feb,Covington City,32500
2016, Feb,Craig County,116000
2016, Feb,Culpeper County,245000
2016, Feb,Cumberland County,179950
2016, Feb,Danville City,85200
2016, Feb,Dickenson County,N/A
2016, Feb,Dinwiddie County,115000
2016, Feb,Emporia City,N/A
2016, Feb,Essex County,139950
2016, Feb,Fairfax City,490000
2016, Feb,Fairfax County,445000
2016, Feb,Falls Church City,865000
2016, Feb,Fauquier County,337500
2016, Feb,Floyd County,180750
2016, Feb,Fluvanna County,219116
2016, Feb,Franklin City,196000
2016, Feb,Franklin County,195500
2016, Feb,Frederick County,208000
2016, Feb,Fredericksburg City,277500
2016, Feb,Galax City,71200
2016, Feb,Giles County,90500
2016, Feb,Gloucester County,174000
2016, Feb,Goochland County,242550
2016, Feb,Grayson County,119000
2016, Feb,Greene County,212000
2016, Feb,Greensville County,6000
2016, Feb,Halifax County,73375
2016, Feb,Hampton City,127750
2016, Feb,Hanover County,235543.5
2016, Feb,Harrisonburg City,191000
2016, Feb,Henrico County,203000
2016, Feb,Henry County,55000
2016, Feb,Highland County,N/A
2016, Feb,Hopewell City,88450
2016, Feb,Isle of Wight County,262000
2016, Feb,James City County,285000
2016, Feb,King and Queen County,145000
2016, Feb,King George County,260000
2016, Feb,King William County,217694.5
2016, Feb,Lancaster County,240000
2016, Feb,Lee County,67500
2016, Feb,Lexington City,160000
2016, Feb,Loudoun County,416000
2016, Feb,Louisa County,174000
2016, Feb,Lunenburg County,86000
2016, Feb,Lynchburg City,140750
2016, Feb,Madison County,129200
2016, Feb,Manassas City,303499.5
2016, Feb,Manassas Park City,339000
2016, Feb,Martinsville City,145750
2016, Feb,Mathews County,200000
2016, Feb,Mecklenburg County,110000
2016, Feb,Middlesex County,110000
2016, Feb,Montgomery County,190200
2016, Feb,Nelson County,173000
2016, Feb,New Kent County,239950
2016, Feb,Newport News City,167200
2016, Feb,Norfolk City,170000
2016, Feb,Northampton County,73500
2016, Feb,Northumberland County,169750
2016, Feb,Norton City,76399.5
2016, Feb,Nottoway County,90000
2016, Feb,Orange County,210000
2016, Feb,Page County,79000
2016, Feb,Patrick County,86407.5
2016, Feb,Petersburg City,39000
2016, Feb,Pittsylvania County,75000
2016, Feb,Poquoson City,250000
2016, Feb,Portsmouth City,103283
2016, Feb,Powhatan County,245000
2016, Feb,Prince Edward County,142500
2016, Feb,Prince George County,180000
2016, Feb,Prince William County,314000
2016, Feb,Pulaski County,133000
2016, Feb,Radford City,227450
2016, Feb,Rappahannock County,530000
2016, Feb,Richmond City,162000
2016, Feb,Richmond County,160000
2016, Feb,Roanoke City,87500
2016, Feb,Roanoke County,176000
2016, Feb,Rockbridge County,111000
2016, Feb,Rockingham County,195000
2016, Feb,Russell County,71800
2016, Feb,Salem City,165500
2016, Feb,Scott County,N/A
2016, Feb,Shenandoah County,137500
2016, Feb,Smyth County,82700
