County_City,Month,Year,Sale_Count,Median_Sale_Value
Accomack County, Apr,2016,42,160000
Accomack County, Aug,2016,37,159950
Accomack County, Dec,2016,31,140100
Accomack County, Feb,2016,15,154000
Accomack County, Jan,2016,21,145000
Accomack County, Jul,2016,26,149000
Accomack County, Jun,2016,45,153300
Accomack County, Mar,2016,27,135000
Accomack County, May,2016,30,160000
Accomack County, Nov,2016,35,168000
Accomack County, Oct,2016,38,170900
Accomack County, Sep,2016,32,145000
Albemarle County, Apr,2016,135,348000
Albemarle County, Aug,2016,161,340000
Albemarle County, Dec,2016,137,339061
Albemarle County, Feb,2016,88,304000
Albemarle County, Jan,2016,64,295985
Albemarle County, Jul,2016,179,337000
Albemarle County, Jun,2016,251,377000
Albemarle County, Mar,2016,131,289000
Albemarle County, May,2016,196,324000
Albemarle County, Nov,2016,117,332000
Albemarle County, Oct,2016,132,303437.5
Albemarle County, Sep,2016,134,335450
Alexandria City, Apr,2016,232,479950
Alexandria City, Aug,2016,218,445000
Alexandria City, Dec,2016,217,515000
Alexandria City, Feb,2016,122,537000
Alexandria City, Jan,2016,101,418000
Alexandria City, Jul,2016,261,536000
Alexandria City, Jun,2016,284,504150
Alexandria City, Mar,2016,212,462500
Alexandria City, May,2016,290,538500
Alexandria City, Nov,2016,198,500500
Alexandria City, Oct,2016,162,435500
Alexandria City, Sep,2016,201,427500
Alleghany County, Apr,2016,9,113000
Alleghany County, Aug,2016,10,49000
Alleghany County, Dec,2016,6,90000
Alleghany County, Feb,2016,3,95000
Alleghany County, Jan,2016,2,37750
Alleghany County, Jul,2016,7,111500
Alleghany County, Jun,2016,5,82000
Alleghany County, Mar,2016,8,117750
Alleghany County, May,2016,8,84000
Alleghany County, Nov,2016,6,78500
Alleghany County, Oct,2016,7,110000
Alleghany County, Sep,2016,8,82250
Amelia County, Apr,2016,14,157450
Amelia County, Aug,2016,7,176000
Amelia County, Dec,2016,5,175000
Amelia County, Feb,2016,11,185000
Amelia County, Jan,2016,11,150000
Amelia County, Jul,2016,14,163750
Amelia County, Jun,2016,11,182000
Amelia County, Mar,2016,11,159950
Amelia County, May,2016,13,225000
Amelia County, Nov,2016,7,153000
Amelia County, Oct,2016,13,174950
Amelia County, Sep,2016,30,216250
Amherst County, Apr,2016,19,149900
Amherst County, Aug,2016,42,150000
Amherst County, Dec,2016,30,120000
Amherst County, Feb,2016,14,144900
Amherst County, Jan,2016,13,146250
Amherst County, Jul,2016,28,162900
Amherst County, Jun,2016,28,110250
Amherst County, Mar,2016,18,101900
Amherst County, May,2016,28,139950
Amherst County, Nov,2016,38,136950
Amherst County, Oct,2016,32,166000
Amherst County, Sep,2016,26,170250
Appomattox County, Apr,2016,17,139900
Appomattox County, Aug,2016,21,148950
Appomattox County, Dec,2016,4,117500
Appomattox County, Feb,2016,12,172450
Appomattox County, Jan,2016,8,158500
Appomattox County, Jul,2016,13,150950
Appomattox County, Jun,2016,15,189900
Appomattox County, Mar,2016,14,133000
Appomattox County, May,2016,13,179500
Appomattox County, Nov,2016,20,157750
Appomattox County, Oct,2016,12,126500
Appomattox County, Sep,2016,9,150000
Arlington County, Apr,2016,272,549900
Arlington County, Aug,2016,281,541500
Arlington County, Dec,2016,225,560000
Arlington County, Feb,2016,141,530000
Arlington County, Jan,2016,147,595000
Arlington County, Jul,2016,287,627000
Arlington County, Jun,2016,347,623500
Arlington County, Mar,2016,223,525000
Arlington County, May,2016,303,535000
Arlington County, Nov,2016,249,545000
Arlington County, Oct,2016,247,510000
Arlington County, Sep,2016,226,512000
Augusta County, Apr,2016,79,205900
Augusta County, Aug,2016,87,194000
Augusta County, Dec,2016,63,199000
Augusta County, Feb,2016,38,186250
Augusta County, Jan,2016,40,196500
Augusta County, Jul,2016,75,214250
Augusta County, Jun,2016,72,211000
Augusta County, Mar,2016,59,177000
Augusta County, May,2016,82,206500
Augusta County, Nov,2016,79,205000
Augusta County, Oct,2016,69,210000
Augusta County, Sep,2016,81,195000
Bath County, Apr,2016,1,137000
Bath County, Aug,2016,2,1009500
Bath County, Feb,2016,3,80000
Bath County, Jan,2016,2,35000
Bath County, Jul,2016,3,280000
Bath County, Jun,2016,4,303500
Bath County, May,2016,3,89900
Bath County, Nov,2016,3,395000
Bath County, Oct,2016,2,112500
Bedford County, Apr,2016,112,200000
Bedford County, Aug,2016,126,249500
Bedford County, Dec,2016,118,230000
Bedford County, Feb,2016,66,190000
Bedford County, Jan,2016,68,189262.5
Bedford County, Jul,2016,114,239950
Bedford County, Jun,2016,130,235500
Bedford County, Mar,2016,77,195000
Bedford County, May,2016,125,230000
Bedford County, Nov,2016,100,181500
Bedford County, Oct,2016,119,230000
Bedford County, Sep,2016,147,227000
Bland County, Apr,2016,5,55000
Bland County, Aug,2016,6,164050
Bland County, Dec,2016,3,87000
Bland County, Feb,2016,1,190500
Bland County, Jan,2016,1,24000
Bland County, Jul,2016,2,34500
Bland County, Jun,2016,3,134000
Bland County, Mar,2016,1,35000
Bland County, May,2016,6,90000
Bland County, Nov,2016,2,82885
Bland County, Oct,2016,4,119500
Bland County, Sep,2016,2,230400
Botetourt County, Apr,2016,34,199950
Botetourt County, Aug,2016,49,209500
Botetourt County, Dec,2016,27,196000
Botetourt County, Feb,2016,24,193000
Botetourt County, Jan,2016,25,230000
Botetourt County, Jul,2016,48,201000
Botetourt County, Jun,2016,44,245000
Botetourt County, Mar,2016,37,165000
Botetourt County, May,2016,50,212000
Botetourt County, Nov,2016,44,230000
Botetourt County, Oct,2016,31,168000
Botetourt County, Sep,2016,52,217975
Bristol City, Apr,2016,2,145000
Bristol City, Aug,2016,3,157750
Bristol City, Dec,2016,3,90000
Bristol City, Jul,2016,3,54300
Bristol City, Jun,2016,6,79600
Bristol City, Mar,2016,5,123500
Bristol City, May,2016,7,156000
Bristol City, Nov,2016,3,224950
Bristol City, Oct,2016,4,122750
Bristol City, Sep,2016,6,129000
Brunswick County, Apr,2016,4,113600
Brunswick County, Aug,2016,2,43625
Brunswick County, Dec,2016,1,116000
Brunswick County, Feb,2016,1,77000
Brunswick County, Jan,2016,1,20000
Brunswick County, Jul,2016,1,135000
Brunswick County, Mar,2016,3,167000
Brunswick County, May,2016,3,180000
Brunswick County, Nov,2016,1,181900
Brunswick County, Oct,2016,3,159500
Brunswick County, Sep,2016,4,66250
Buchanan County, Aug,2016,3,46000
Buchanan County, Dec,2016,3,105000
Buchanan County, Feb,2016,1,36000
Buchanan County, Jan,2016,2,28250
Buchanan County, Jul,2016,2,29225
Buchanan County, Jun,2016,2,61750
Buchanan County, Mar,2016,2,10750
