"Year","Month","Job_Value","30-Year_Fixed","15-Year_Fixed","5-1_Year_Adj"
2016,"Dec","3958.2","3.61","2.86","2.8"
2016,"Nov","3972.8","3.61","2.86","2.8"
2016,"Oct","3947.3","3.61","2.86","2.8"
2016,"Sep","3932.4","3.61","2.86","2.8"
2016,"Aug","3921.1","3.61","2.86","2.8"
2016,"Jul","3917.2","3.61","2.86","2.8"
2016,"Jun","3944.9","3.61","2.86","2.8"
2016,"May","3919","3.61","2.86","2.8"
2016,"Apr","3918.3","3.61","2.86","2.8"
2016,"Mar","3876.9","3.61","2.86","2.8"
2016,"Feb","3851.1","3.61","2.86","2.8"
2016,"Jan","3836.2","3.61","2.86","2.8"
2016,"Dec","3958.2","3.66","2.92","2.88"
2016,"Nov","3972.8","3.66","2.92","2.88"
2016,"Oct","3947.3","3.66","2.92","2.88"
2016,"Sep","3932.4","3.66","2.92","2.88"
2016,"Aug","3921.1","3.66","2.92","2.88"
2016,"Jul","3917.2","3.66","2.92","2.88"
2016,"Jun","3944.9","3.66","2.92","2.88"
2016,"May","3919","3.66","2.92","2.88"
2016,"Apr","3918.3","3.66","2.92","2.88"
2016,"Mar","3876.9","3.66","2.92","2.88"
2016,"Feb","3851.1","3.66","2.92","2.88"
2016,"Jan","3836.2","3.66","2.92","2.88"
2016,"Dec","3958.2","3.41","2.74","2.68"
2016,"Nov","3972.8","3.41","2.74","2.68"
2016,"Oct","3947.3","3.41","2.74","2.68"
2016,"Sep","3932.4","3.41","2.74","2.68"
2016,"Aug","3921.1","3.41","2.74","2.68"
2016,"Jul","3917.2","3.41","2.74","2.68"
2016,"Jun","3944.9","3.41","2.74","2.68"
2016,"May","3919","3.41","2.74","2.68"
2016,"Apr","3918.3","3.41","2.74","2.68"
2016,"Mar","3876.9","3.41","2.74","2.68"
2016,"Feb","3851.1","3.41","2.74","2.68"
2016,"Jan","3836.2","3.41","2.74","2.68"
2016,"Dec","3958.2","3.43","2.74","2.73"
2016,"Nov","3972.8","3.43","2.74","2.73"
2016,"Oct","3947.3","3.43","2.74","2.73"
2016,"Sep","3932.4","3.43","2.74","2.73"
2016,"Aug","3921.1","3.43","2.74","2.73"
2016,"Jul","3917.2","3.43","2.74","2.73"
2016,"Jun","3944.9","3.43","2.74","2.73"
2016,"May","3919","3.43","2.74","2.73"
2016,"Apr","3918.3","3.43","2.74","2.73"
2016,"Mar","3876.9","3.43","2.74","2.73"
2016,"Feb","3851.1","3.43","2.74","2.73"
2016,"Jan","3836.2","3.43","2.74","2.73"
2016,"Dec","3958.2","3.46","2.77","2.83"
2016,"Nov","3972.8","3.46","2.77","2.83"
2016,"Oct","3947.3","3.46","2.77","2.83"
2016,"Sep","3932.4","3.46","2.77","2.83"
2016,"Aug","3921.1","3.46","2.77","2.83"
2016,"Jul","3917.2","3.46","2.77","2.83"
2016,"Jun","3944.9","3.46","2.77","2.83"
2016,"May","3919","3.46","2.77","2.83"
2016,"Apr","3918.3","3.46","2.77","2.83"
2016,"Mar","3876.9","3.46","2.77","2.83"
2016,"Feb","3851.1","3.46","2.77","2.83"
2016,"Jan","3836.2","3.46","2.77","2.83"
2016,"Dec","3958.2","3.42","2.72","2.8"
2016,"Nov","3972.8","3.42","2.72","2.8"
2016,"Oct","3947.3","3.42","2.72","2.8"
2016,"Sep","3932.4","3.42","2.72","2.8"
2016,"Aug","3921.1","3.42","2.72","2.8"
2016,"Jul","3917.2","3.42","2.72","2.8"
2016,"Jun","3944.9","3.42","2.72","2.8"
2016,"May","3919","3.42","2.72","2.8"
2016,"Apr","3918.3","3.42","2.72","2.8"
2016,"Mar","3876.9","3.42","2.72","2.8"
2016,"Feb","3851.1","3.42","2.72","2.8"
2016,"Jan","3836.2","3.42","2.72","2.8"
2016,"Dec","3958.2","3.54","2.84","2.87"
2016,"Nov","3972.8","3.54","2.84","2.87"
2016,"Oct","3947.3","3.54","2.84","2.87"
2016,"Sep","3932.4","3.54","2.84","2.87"
2016,"Aug","3921.1","3.54","2.84","2.87"
2016,"Jul","3917.2","3.54","2.84","2.87"
2016,"Jun","3944.9","3.54","2.84","2.87"
2016,"May","3919","3.54","2.84","2.87"
2016,"Apr","3918.3","3.54","2.84","2.87"
2016,"Mar","3876.9","3.54","2.84","2.87"
2016,"Feb","3851.1","3.54","2.84","2.87"
2016,"Jan","3836.2","3.54","2.84","2.87"
2016,"Dec","3958.2","4.08","3.34","3.15"
2016,"Nov","3972.8","4.08","3.34","3.15"
2016,"Oct","3947.3","4.08","3.34","3.15"
2016,"Sep","3932.4","4.08","3.34","3.15"
2016,"Aug","3921.1","4.08","3.34","3.15"
2016,"Jul","3917.2","4.08","3.34","3.15"
2016,"Jun","3944.9","4.08","3.34","3.15"
2016,"May","3919","4.08","3.34","3.15"
2016,"Apr","3918.3","4.08","3.34","3.15"
2016,"Mar","3876.9","4.08","3.34","3.15"
2016,"Feb","3851.1","4.08","3.34","3.15"
2016,"Jan","3836.2","4.08","3.34","3.15"
2017,"Dec","4002.1","4.2","3.44","3.33"
2017,"Nov","4010.8","4.2","3.44","3.33"
2017,"Oct","3989.3","4.2","3.44","3.33"
2017,"Sep","3970.1","4.2","3.44","3.33"
2017,"Aug","3961.5","4.2","3.44","3.33"
2017,"Jul","3964.7","4.2","3.44","3.33"
2017,"Jun","3994.5","4.2","3.44","3.33"
2017,"May","3964.5","4.2","3.44","3.33"
2017,"Apr","3953","4.2","3.44","3.33"
2017,"Mar","3922","4.2","3.44","3.33"
2017,"Feb","3904.7","4.2","3.44","3.33"
2017,"Jan","3877.4","4.2","3.44","3.33"
2017,"Dec","4002.1","4.19","3.41","3.23"
2017,"Nov","4010.8","4.19","3.41","3.23"
2017,"Oct","3989.3","4.19","3.41","3.23"
2017,"Sep","3970.1","4.19","3.41","3.23"
2017,"Aug","3961.5","4.19","3.41","3.23"
2017,"Jul","3964.7","4.19","3.41","3.23"
2017,"Jun","3994.5","4.19","3.41","3.23"
2017,"May","3964.5","4.19","3.41","3.23"
2017,"Apr","3953","4.19","3.41","3.23"
2017,"Mar","3922","4.19","3.41","3.23"
2017,"Feb","3904.7","4.19","3.41","3.23"
2017,"Jan","3877.4","4.19","3.41","3.23"
2017,"Dec","4002.1","4.1","3.32","3.14"
2017,"Nov","4010.8","4.1","3.32","3.14"
2017,"Oct","3989.3","4.1","3.32","3.14"
2017,"Sep","3970.1","4.1","3.32","3.14"
2017,"Aug","3961.5","4.1","3.32","3.14"
2017,"Jul","3964.7","4.1","3.32","3.14"
2017,"Jun","3994.5","4.1","3.32","3.14"
2017,"May","3964.5","4.1","3.32","3.14"
2017,"Apr","3953","4.1","3.32","3.14"
2017,"Mar","3922","4.1","3.32","3.14"
2017,"Feb","3904.7","4.1","3.32","3.14"
2017,"Jan","3877.4","4.1","3.32","3.14"
2017,"Dec","4002.1","4.1","3.36","3.19"
2017,"Nov","4010.8","4.1","3.36","3.19"
2017,"Oct","3989.3","4.1","3.36","3.19"
2017,"Sep","3970.1","4.1","3.36","3.19"
2017,"Aug","3961.5","4.1","3.36","3.19"
2017,"Jul","3964.7","4.1","3.36","3.19"
2017,"Jun","3994.5","4.1","3.36","3.19"
2017,"May","3964.5","4.1","3.36","3.19"
2017,"Apr","3953","4.1","3.36","3.19"
2017,"Mar","3922","4.1","3.36","3.19"
2017,"Feb","3904.7","4.1","3.36","3.19"
2017,"Jan","3877.4","4.1","3.36","3.19"
2017,"Dec","4002.1","4.02","3.27","3.13"
2017,"Nov","4010.8","4.02","3.27","3.13"
2017,"Oct","3989.3","4.02","3.27","3.13"
2017,"Sep","3970.1","4.02","3.27","3.13"
2017,"Aug","3961.5","4.02","3.27","3.13"
2017,"Jul","3964.7","4.02","3.27","3.13"
2017,"Jun","3994.5","4.02","3.27","3.13"
2017,"May","3964.5","4.02","3.27","3.13"
2017,"Apr","3953","4.02","3.27","3.13"
2017,"Mar","3922","4.02","3.27","3.13"
2017,"Feb","3904.7","4.02","3.27","3.13"
2017,"Jan","3877.4","4.02","3.27","3.13"
2017,"Dec","4002.1","3.94","3.19","3.11"
2017,"Nov","4010.8","3.94","3.19","3.11"
