Month,Week,Year,30-Yr_Fixed,15-Yr_Fixed,5-1_Yr_Adj
May,5-May,2016,3.61,2.86,2.8
May,12-May,2016,3.57,2.81,2.78
May,19-May,2016,3.58,2.81,2.8
May,26-May,2016,3.64,2.89,2.87
Jun,2-Jun,2016,3.66,2.92,2.88
Jun,9-Jun,2016,3.6,2.87,2.82
Jun,16-Jun,2016,3.54,2.81,2.74
Jun,23-Jun,2016,3.56,2.83,2.74
Jun,30-Jun,2016,3.48,2.78,2.7
Jul,7-Jul,2016,3.41,2.74,2.68
Jul,14-Jul,2016,3.42,2.72,2.76
Jul,21-Jul,2016,3.45,2.75,2.78
Jul,28-Jul,2016,3.48,2.78,2.78
Aug,4-Aug,2016,3.43,2.74,2.73
Aug,11-Aug,2016,3.45,2.76,2.74
Aug,18-Aug,2016,3.43,2.74,2.76
Aug,25-Aug,2016,3.43,2.74,2.75
Sep,1-Sep,2016,3.46,2.77,2.83
Sep,8-Sep,2016,3.44,2.76,2.81
Sep,15-Sep,2016,3.5,2.77,2.82
Sep,22-Sep,2016,3.48,2.76,2.8
Sep,29-Sep,2016,3.42,2.72,2.81
Oct,6-Oct,2016,3.42,2.72,2.8
Oct,13-Oct,2016,3.47,2.76,2.82
Oct,20-Oct,2016,3.52,2.79,2.85
Oct,27-Oct,2016,3.47,2.78,2.84
Nov,3-Nov,2016,3.54,2.84,2.87
Nov,10-Nov,2016,3.57,2.88,2.88
Nov,17-Nov,2016,3.94,3.14,3.07
Nov,23-Nov,2016,4.03,3.25,3.12
Dec,1-Dec,2016,4.08,3.34,3.15
Dec,8-Dec,2016,4.13,3.36,3.17
Dec,15-Dec,2016,4.16,3.37,3.19
Dec,22-Dec,2016,4.3,3.52,3.32
Dec,29-Dec,2016,4.32,3.55,3.3
Jan,5-Jan,2017,4.2,3.44,3.33
Jan,12-Jan,2017,4.12,3.37,3.23
Jan,19-Jan,2017,4.09,3.34,3.21
Jan,26-Jan,2017,4.19,3.4,3.2
Feb,2-Feb,2017,4.19,3.41,3.23
Feb,9-Feb,2017,4.17,3.39,3.21
Feb,16-Feb,2017,4.15,3.35,3.18
Feb,23-Feb,2017,4.16,3.37,3.16
Mar,2-Mar,2017,4.1,3.32,3.14
Mar,9-Mar,2017,4.21,3.42,3.23
Mar,16-Mar,2017,4.3,3.5,3.28
Mar,23-Mar,2017,4.23,3.44,3.24
Mar,30-Mar,2017,4.14,3.39,3.18
April,6-Apr,2017,4.1,3.36,3.19
April,13-Apr,2017,4.08,3.34,3.18
April,20-Apr,2017,3.97,3.23,3.1
April,27-Apr,2017,4.03,3.27,3.12
May,4-May,2017,4.02,3.27,3.13
May,11-May,2017,4.05,3.29,3.14
May,18-May,2017,4.02,3.27,3.13
May,25-May,2017,3.95,3.19,3.07
Jun,1-Jun,2017,3.94,3.19,3.11
Jun,8-Jun,2017,3.89,3.16,3.11
Jun,15-Jun,2017,3.91,3.18,3.15
Jun,22-Jun,2017,3.9,3.17,3.14
Jun,29-Jun,2017,3.88,3.17,3.17
Jul,6-Jul,2017,3.96,3.22,3.21
Jul,13-Jul,2017,4.03,3.29,3.28
Jul,20-Jul,2017,3.96,3.23,3.21
Jul,27-Jul,2017,3.92,3.2,3.18
Aug,3-Aug,2017,3.93,3.18,3.15
Aug,10-Aug,2017,3.9,3.18,3.14
Aug,17-Aug,2017,3.89,3.16,3.16
Aug,24-Aug,2017,3.86,3.16,3.17
Aug,31-Aug,2017,3.82,3.12,3.14
Sep,7-Sep,2017,3.78,3.08,3.15
Sep,14-Sep,2017,3.78,3.08,3.13
Sep,21-Sep,2017,3.83,3.13,3.17
Sep,28-Sep,2017,3.83,3.13,3.2
Oct,5-Oct,2017,3.85,3.15,3.18
Oct,12-Oct,2017,3.91,3.21,3.16
Oct,19-Oct,2017,3.88,3.19,3.17
Oct,26-Oct,2017,3.94,3.25,3.21
Nov,2-Nov,2017,3.94,3.27,3.23
Nov,9-Nov,2017,3.9,3.24,3.22
Nov,16-Nov,2017,3.95,3.31,3.21
Nov,22-Nov,2017,3.92,3.32,3.22
Nov,30-Nov,2017,3.9,3.3,3.32
Dec,7-Dec,2017,3.94,3.36,3.35
Dec,14-Dec,2017,3.93,3.36,3.36
Dec,21-Dec,2017,3.94,3.38,3.39
Dec,28-Dec,2017,3.99,3.44,3.47
Jan,4-Jan,2018,3.95,3.38,3.45
Jan,11-Jan,2018,3.99,3.44,3.46
Jan,18-Jan,2018,4.04,3.49,3.46
Jan,25-Jan,2018,4.15,3.62,3.52
Feb,1-Feb,2018,4.22,3.68,3.53
Feb,8-Feb,2018,4.32,3.77,3.57
Feb,15-Feb,2018,4.38,3.84,3.63
Feb,22-Feb,2018,4.4,3.85,3.65
Mar,1-Mar,2018,4.43,3.9,3.62
Mar,8-Mar,2018,4.46,3.94,3.63
Mar,15-Mar,2018,4.44,3.9,3.67
Mar,22-Mar,2018,4.45,3.91,3.68
Mar,29-Mar,2018,4.44,3.9,3.66
April,5-Apr,2018,4.4,3.87,3.62
April,12-Apr,2018,4.42,3.87,3.61
April,19-Apr,2018,4.47,3.94,3.67
April,26-Apr,2018,4.58,4.02,3.74
May,3-May,2018,4.55,4.03,3.69
May,10-May,2018,4.55,4.01,3.77
May,17-May,2018,4.61,4.08,3.82
May,24-May,2018,4.66,4.15,3.87
May,31-May,2018,4.56,4.06,3.8
Jun,7-Jun,2018,4.54,4.01,3.74
Jun,14-Jun,2018,4.62,4.07,3.83
Jun,21-Jun,2018,4.57,4.04,3.83
Jun,28-Jun,2018,4.55,4.04,3.87
Jul,5-Jul,2018,4.52,3.99,3.74
Jul,12-Jul,2018,4.53,4.02,3.86
Jul,19-Jul,2018,4.52,4,3.87
Jul,26-Jul,2018,4.54,4.02,3.87
Aug,2-Aug,2018,4.6,4.08,3.93
Aug,9-Aug,2018,4.59,4.05,3.9
Aug,16-Aug,2018,4.53,4.01,3.87
Aug,23-Aug,2018,4.51,3.98,3.82
Aug,30-Aug,2018,4.52,3.97,3.85
Sep,6-Sep,2018,4.54,3.99,3.93
Sep,13-Sep,2018,4.6,4.06,3.93
Sep,20-Sep,2018,4.65,4.11,3.92
Sep,27-Sep,2018,4.72,4.16,3.97
Oct,4-Oct,2018,4.71,4.15,4.01
Oct,11-Oct,2018,4.9,4.29,4.07
Oct,18-Oct,2018,4.85,4.26,4.1
Oct,25-Oct,2018,4.86,4.29,4.14
Nov,1-Nov,2018,4.83,4.23,4.04
Nov,8-Nov,2018,4.94,4.33,4.14
Nov,15-Nov,2018,4.94,4.36,4.14
Nov,21-Nov,2018,4.81,4.24,4.09
Nov,29-Nov,2018,4.81,4.25,4.12
Dec,6-Dec,2018,4.75,4.21,4.07
Dec,13-Dec,2018,4.63,4.07,4.04
Dec,20-Dec,2018,4.62,4.07,3.98
Dec,27-Dec,2018,4.55,4.01,4
Jan,3-Jan,2019,4.51,3.99,3.98
Jan,10-Jan,2019,4.45,3.89,3.83
Jan,17-Jan,2019,4.45,3.88,3.87
Jan,24-Jan,2019,4.45,3.88,3.9
Jan,31-Jan,2019,4.46,3.89,3.96
Feb,7-Feb,2019,4.41,3.84,3.91
Feb,14-Feb,2019,4.37,3.81,3.88
Feb,21-Feb,2019,4.35,3.78,3.84
Feb,28-Feb,2019,4.35,3.77,3.84
Mar,7-Mar,2019,4.41,3.83,3.87
Mar,14-Mar,2019,4.31,3.76,3.84
Mar,21-Mar,2019,4.28,3.71,3.84
Mar,28-Mar,2019,4.06,3.57,3.75
April,4-Apr,2019,4.08,3.56,3.66
April,11-Apr,2019,4.12,3.6,3.8
April,18-Apr,2019,4.17,3.62,3.78
April,25-Apr,2019,4.2,3.64,3.77
May,2-May,2019,4.14,3.6,3.68
May,9-May,2019,4.1,3.57,3.63
May,16-May,2019,4.07,3.53,3.66
May,23-May,2019,4.06,3.51,3.68
May,30-May,2019,3.99,3.46,3.6
Jun,6-Jun,2019,3.82,3.28,3.52
Jun,13-Jun,2019,3.82,3.26,3.51
Jun,20-Jun,2019,3.84,3.25,3.48
Jun,27-Jun,2019,3.73,3.16,3.39
Jul,3-Jul,2019,3.75,3.18,3.45
Jul,11-Jul,2019,3.75,3.22,3.46
Jul,18-Jul,2019,3.81,3.23,3.48
Jul,25-Jul,2019,3.75,3.18,3.47
Aug,1-Aug,2019,3.75,3.2,3.46
Aug,8-Aug,2019,3.6,3.05,3.36
Aug,15-Aug,2019,3.6,3.07,3.35
Aug,22-Aug,2019,3.55,3.03,3.32
Aug,29-Aug,2019,3.58,3.06,3.31
Sep,5-Sep,2019,3.49,3,3.3
Sep,12-Sep,2019,3.56,3.09,3.36
Sep,19-Sep,2019,3.73,3.21,3.49
Sep,26-Sep,2019,3.64,3.16,3.38
Oct,3-Oct,2019,3.65,3.14,3.38
Oct,10-Oct,2019,3.57,3.05,3.35
Oct,17-Oct,2019,3.69,3.15,3.35
Oct,24-Oct,2019,3.75,3.18,3.4
Oct,31-Oct,2019,3.78,3.19,3.43
Nov,7-Nov,2019,3.69,3.13,3.39
Nov,14-Nov,2019,3.75,3.2,3.44
Nov,21-Nov,2019,3.66,3.15,3.39
Nov,27-Nov,2019,3.68,3.15,3.43
Dec,5-Dec,2019,3.68,3.14,3.39
Dec,12-Dec,2019,3.73,3.19,3.36
Dec,19-Dec,2019,3.73,3.19,3.37
Dec,26-Dec,2019,3.74,3.19,3.45
Jan,2-Jan,2020,3.72,3.16,3.46
Jan,9-Jan,2020,3.64,3.07,3.3
Jan,16-Jan,2020,3.65,3.09,3.39
Jan,23-Jan,2020,3.6,3.04,3.28
Jan,30-Jan,2020,3.51,3,3.24
Feb,6-Feb,2020,3.45,2.97,3.32
Feb,13-Feb,2020,3.47,2.97,3.28
Feb,20-Feb,2020,3.49,2.99,3.25
Feb,27-Feb,2020,3.45,2.95,3.2
Mar,5-Mar,2020,3.29,2.79,3.18
Mar,12-Mar,2020,3.36,2.77,3.01
Mar,19-Mar,2020,3.65,3.06,3.11
Mar,26-Mar,2020,3.5,2.92,3.34
April,2-Apr,2020,3.33,2.82,3.4
April,9-Apr,2020,3.33,2.77,3.4
April,16-Apr,2020,3.31,2.8,3.34
April,23-Apr,2020,3.33,2.86,3.28
April,30-Apr,2020,3.23,2.77,3.14
May,7-May,2020,3.26,2.73,3.17
May,14-May,2020,3.28,2.72,3.18
May,21-May,2020,3.24,2.7,3.17
May,28-May,2020,3.15,2.62,3.13
Jun,4-Jun,2020,3.18,2.62,3.1
Jun,11-Jun,2020,3.21,2.62,3.1
Jun,18-Jun,2020,3.13,2.58,3.09
Jun,25-Jun,2020,3.13,2.59,3.08
Jul,2-Jul,2020,3.07,2.56,3
Jul,9-Jul,2020,3.03,2.51,3.02
