Date,Job_Count,Sale_Count,Median_Sale_Value,30-Year_Fixed,15-Year_Fixed,5-1_Year_Adj
5/1/2016,3919,90.46511628,202588.1202,3.61,2.86,2.8
6/1/2016,3944.9,104.3333333,208685.5754,3.66,2.92,2.88
7/1/2016,3917.2,89.68503937,206065.3189,3.41,2.74,2.68
8/1/2016,3921.1,91.0703125,209099.8047,3.43,2.74,2.73
9/1/2016,3932.4,79.63492063,199593.3095,3.46,2.77,2.83
10/1/2016,3947.3,67.68181818,195863.557,3.42,2.72,2.8
11/1/2016,3972.8,67.36220472,197976.2913,3.54,2.84,2.87
12/1/2016,3958.2,71,199408.1299,4.08,3.34,3.15
1/1/2017,3877.4,50.14728682,197280.0116,4.2,3.44,3.33
2/1/2017,3904.7,53.584,198184.83,4.19,3.41,3.23
3/1/2017,3922,80.11290323,199704.1935,4.1,3.32,3.14
4/1/2017,3953,83.02362205,211624.6339,4.1,3.36,3.19
5/1/2017,3964.5,97.13846154,202823.0769,4.02,3.27,3.13
6/1/2017,3994.5,108.3769231,208245.0077,3.94,3.19,3.11
7/1/2017,3964.7,90.8671875,223098.9648,3.96,3.22,3.21
8/1/2017,3961.5,93.03125,212091.8359,3.93,3.18,3.15
9/1/2017,3970.1,77.8828125,206540.7603,3.78,3.08,3.15
10/1/2017,3989.3,75.50769231,220470.4923,3.85,3.15,3.18
11/1/2017,4010.8,70.46511628,205878.7636,3.94,3.27,3.23
12/1/2017,4002.1,71.84251969,208922,3.94,3.36,3.35
1/1/2018,3929.6,50.99224806,215722.8295,3.95,3.38,3.45
2/1/2018,3956.2,55.41269841,207870.004,4.22,3.68,3.53
3/1/2018,3975.8,77.06976744,204017.0194,4.43,3.9,3.62
4/1/2018,4004.8,84.859375,210415.1445,4.4,3.87,3.62
5/1/2018,4017.8,97.6,212764.0923,4.55,4.03,3.69
6/1/2018,4047.5,108.265625,226692.043,4.54,4.01,3.74
7/1/2018,4020.9,97.79844961,220642.9612,4.52,3.99,3.74
8/1/2018,4017.2,94.0234375,219646.2813,4.6,4.08,3.93
9/1/2018,4013.1,70.18604651,214747.5,4.54,3.99,3.93
10/1/2018,4040.4,76.48031496,213657.8976,4.71,4.15,4.01
11/1/2018,4068.9,72.41269841,223590.2222,4.83,4.23,4.04
12/1/2018,4047.6,67.17322835,219217.1535,4.75,4.21,4.07
1/1/2019,3981.9,52.21428571,214411.377,4.51,3.99,3.98
2/1/2019,4004.4,56.65873016,219475.6984,4.41,3.84,3.91
3/1/2019,4023.7,78.5,221997.8532,4.41,3.83,3.87
4/1/2019,4051.6,86.21875,222617.1953,4.08,3.56,3.66
5/1/2019,4058.9,103.379845,229452.5969,4.14,3.6,3.68
6/1/2019,4091.1,104.6484375,244757.2656,3.82,3.28,3.52
7/1/2019,4062.2,102.0697674,231791.8295,3.75,3.18,3.45
8/1/2019,4061.1,95.47692308,231823.0692,3.75,3.2,3.46
9/1/2019,4056.2,80.83464567,226680.2362,3.49,3,3.3
10/1/2019,4096.2,82.50387597,225561.7481,3.65,3.14,3.38
11/1/2019,4119.3,70.3875969,222037.2558,3.69,3.13,3.39
12/1/2019,4099.5,75.79527559,243603.0551,3.68,3.14,3.39
1/1/2020,4041.4,54.15384615,221993.2577,3.72,3.16,3.46
2/1/2020,4055.2,60.5625,224248.2109,3.45,2.97,3.32
3/1/2020,4046.2,84.9047619,232304.7937,3.29,2.79,3.18
4/1/2020,3615.2,80.578125,243615.2383,3.33,2.82,3.4
5/1/2020,3637,84.776,241347.656,3.26,2.73,3.17
6/1/2020,3734.3,103.8449612,240552.8915,3.18,2.62,3.1
8/1/2020,3825.3,106.4045802,253664.8435,2.88,2.44,2.9
9/1/2020,3852,104,258596.8692,2.93,2.42,2.93
10/1/2020,3895.5,106.9527559,262329.9449,2.88,2.36,2.9
11/1/2020,3921.3,90.69767442,268107.5116,2.78,2.32,2.89
12/1/2020,3910.6,99.86614173,264379.752,2.71,2.26,2.86
3/1/2021,3890.5,93.62307692,273704.0269,3.02,2.34,2.73
5/1/2021,3930,109.7076923,287580.9808,2.96,2.3,2.7
6/1/2021,3955.5,127.1692308,286942.3846,2.99,2.27,2.64
7/1/2021,3964.6,114.8604651,288230.2674,2.98,2.26,2.54
8/1/2021,3974.1,115.2125984,285040.685,2.77,2.1,2.4
9/1/2021,3965.5,104.2047244,284160.3268,2.87,2.18,2.43
10/1/2021,4014.9,98.875,283579.4883,2.99,2.23,2.52
11/1/2021,4043.5,95.54330709,292775.7953,3.09,2.35,2.54
12/1/2021,4036.8,92.63846154,305257.85,3.11,2.39,2.49
